x_1	x_2	y_1	y_2	P(x_1)	P(x_2)	P(y_1)	P(y_2)	P(x_1, y_1)	P(x_1, y_2)	P(x_2, y_1)	P(x_2, y_2)	P(y_1|x_1)	P(y_2|x_2)	P(x_1|y_1)	P(x_2|y_2)
The girl had the flightiness of a sparrow	The girl had the flightiness of a rock	The girl was very fickle.	The girl was very stable.	7.073867897945269e-19	1.0670728836830807e-21	1.542849261157946e-17	7.916167301945499e-18	3.8214738920462836e-32	1.1668933185923943e-33	4.7621570527376636e-35	1.1952621980460972e-34	0.970369605010044	0.7150930297505494	0.9987553938148016	0.09291387159242799
It was as peaceful as a church.	It was as peaceful as a battlefield.	It was very peaceful.	It was full of conflict and danger, not peace.	5.83450313856292e-17	2.777128519137697e-19	2.539467580308501e-13	6.56160838671809e-25	6.2327757098173275e-24	1.419706093019851e-35	3.426171741333235e-26	5.2891311313203744e-36	0.9999999999977222	1.5437437261815998e-10	0.9945330281155713	0.27142969311922627
The leaves were as green as grass	The leaves were as green as dirt	The leaves were very green	The leaves were brown and not green at all.	1.3650182221884977e-13	1.5331636109353995e-16	1.6453718094379144e-12	3.8690097773854375e-19	2.0384116773360052e-20	1.4219503482307166e-27	1.6068401461464215e-23	2.566930612327583e-30	0.9999999302422438	1.5975019098296907e-07	0.9992123404114344	0.001801965234435329
Shopping for groceries is finding shells on a sunny beach	Shopping for groceries is a scavenger hunt with a list created by a lunatic	Shopping for groceries is a fun, rewarding chore	Shopping for groceries is a crazy, nearly impossible chore	5.107056005296852e-22	1.1297815297579227e-23	1.3014123670975004e-16	1.6648839956919593e-20	3.020587806531981e-34	3.799757614771599e-39	2.9304317981499844e-37	2.6042107699818447e-39	0.9999874206278394	0.008808502469205105	0.9990307874578034	0.4066557817777404
War is an amputation on the wrong limb	War is an amputation to save your life	War is the wrong solution to a problem	War is a necessary solution	2.3288528797611383e-21	1.1279665637142233e-19	1.2561107242037722e-14	2.8123916294079488e-14	1.5785606695385408e-28	2.4856480012054766e-31	7.923041270430175e-29	3.0556433137227594e-28	0.9984278461841185	0.7940969466866362	0.6658164024429378	0.999187199744577
It's as green as grass in the spring	It's as green as grass during a hot summer	It's fairy green	It's not too green	1.89273594764999e-15	6.004819243291847e-19	8.047499949523438e-15	6.833844905698282e-13	8.529172754799735e-25	1.0770503214398829e-23	2.8642545975576018e-28	2.5288833900713063e-27	0.07337919816483099	0.8982614430479434	0.9996642941662813	0.0002347420268607892
This is as peaceful as a sleeping puppy	This is as peaceful as European in the '40s	It's very peaceful	It's not very peaceful	9.912030621986165e-18	1.1187487137855334e-27	2.002245509325801e-11	1.0201527697467054e-12	1.814934710767156e-24	6.047255532966645e-26	1.8696190705840955e-33	1.2434640784233386e-34	0.9677549743872303	0.06236136442064377	0.9999999989698698	2.056245298528763e-09
The music was loud like a siren.	The music was loud like a whisper.	The music was very loud.	The music was very quiet.	1.6576106432008609e-18	4.0919484361242834e-19	6.749382620178092e-14	3.1630686898971694e-15	1.3789549549262893e-25	2.0175239185606718e-28	4.732675354156829e-27	1.369402532709827e-27	0.998539055665868	0.22441577411805191	0.9668180884178851	0.87158975305264
Jobs are as available as a marriage man.	Jobs are as available as a bachelor.	Jobs are not available.	Jobs are very available.	4.806745717616598e-27	1.6229121412391117e-23	6.248134987547261e-15	4.251890836529678e-17	1.6707962635904298e-33	9.987932435417866e-35	1.047279634926871e-30	3.2161031170232435e-31	0.9435925332487821	0.2349424162945088	0.0015928267093557804	0.9996895363369266
Peace is a human flying	Peace is a human walking	Peace is impossible	Peace is possible	2.2831665110661137e-19	7.29580367310756e-18	4.605434704318347e-11	2.9926810587564446e-09	3.106989565039075e-25	3.1134692078299396e-24	1.3401595738266525e-24	3.343632177089174e-23	0.09073706126356451	0.9614636236328093	0.18820447106494015	0.9148156767943619
Plants are a lullaby	Plants are a loud drum	Plants are calming	Plants are disturbing	2.306930642737254e-16	1.4670946158486792e-18	2.2177626416446797e-12	1.7872839493560242e-13	2.6690144532512894e-21	1.3828010260390154e-24	5.930856606650907e-26	2.3926838002747187e-26	0.9994821740384042	0.2874598648291392	0.9999777793454362	0.017008860501278058
The car was as ugly as a one eyed rat	The car was as ugly as a swan	it was hideous	it was beautiful	1.157657322622832e-19	5.341876699047737e-19	9.741019883066804e-12	6.81446143693578e-10	3.434518686600027e-27	1.8654002511427792e-27	1.6770600368463162e-26	1.5485026110575038e-26	0.6480323052002681	0.4800720928684554	0.16998260080726288	0.8924867774282124
The man was as handsome as a prince	The man was as handsome as a hobo	he was good looking	he was ugly	4.719453268069097e-15	2.0522618194949404e-19	5.368800703985286e-12	1.4859989842949273e-12	3.992805090465476e-24	2.389465224801608e-25	1.6806960326592934e-28	3.242581349531159e-28	0.9435348422272274	0.6586225186622489	0.9999579086569009	0.0013551932004380882
The conversation was sharp as a tack	The conversation was sharp as a rock	The conversation was sharp and witty.	The conversation was dull and not sharp.	1.6336948275590912e-16	2.7330421812810133e-18	2.5370791678105563e-18	8.156441881736053e-23	2.1303284911728087e-28	1.2800627139450512e-32	1.0506969750917829e-30	2.029056478668336e-34	0.9999399160360477	0.00019307800065979978	0.9950921170997493	0.015603886358077423
He ate it like a fat boy eats cake	He ate it like a young boy eats broccoli	The food was tasty to him	The food was unpalatable to him	4.241035371089676e-18	2.3084477142346628e-21	3.1926580935390855e-16	1.1039641427217511e-15	2.104129452678616e-27	3.374850606633952e-29	1.1175825355861562e-30	6.179112272921088e-30	0.984214016553989	0.8468371550522898	0.9994691442301581	0.15475784757352282
He picked it up like a mother holding a baby	He picked it up like a playboy holding a condom	He held it with pride and care	He held it with disgust and caution	5.718097038949985e-17	1.138035156806856e-22	2.4777349477545134e-15	1.569920338806357e-19	1.099315987595381e-23	3.5395664818275173e-29	2.116370192782898e-30	1.6677978503212654e-32	0.9999967802204961	0.007818847566464827	0.9999998074830341	0.0004709651264510498
He rushed through the math test like an ape	He rushed through the math test like a rocket scientist	He rushed because he is dumb	He rushed because he is smart	2.2073928854760314e-24	4.7821173964059216e-24	5.262332331309179e-18	2.5975824717904344e-17	8.28746434226971e-34	8.064662438973236e-34	6.035862763581443e-36	3.070168905922507e-34	0.506812627686817	0.9807193429897076	0.9927695366979616	0.27572657464002687
The bear was as hungry as a lion	The bear was as hungry as a piece of paper	it was starving	it didn't need food	5.743042619259019e-16	9.968058490232418e-21	2.940405623111229e-13	6.198467981339149e-16	4.7640939727662773e-23	1.2661479771971533e-26	6.715972348165296e-28	1.6743654531280774e-30	0.999734301722196	0.0024869093727664486	0.9999859031376954	0.00013222341250507732
That conversation had the ease of doing your taxes blindfolded.	That conversation had the ease of a Sunday morning.	Having that conversation was difficult	Having that conversation was easy.	1.3686163929562277e-31	2.9784959327824433e-24	1.2532342218767709e-14	2.6831674540540343e-18	4.031920652203566e-42	4.898802443042511e-42	1.271350531741991e-34	6.419759067400469e-34	0.45146631568386686	0.8346986848446752	3.1713681031871087e-08	0.9999999923691804
Their conversations were artillery bombardments.	Their conversations were a hug with words.	Their conversations were heated and antagonistic.	Their conversations were friendly.	2.3458269555685005e-23	7.384827346839873e-23	6.5093916172703316e-21	2.0015444650732956e-17	4.8434070135016744e-36	1.2956613303835928e-31	1.092368894871501e-37	3.011180051542866e-32	3.7380338918288993e-05	0.9999963723028402	0.9779437222568682	0.1885783454561392
The story was as disturbing as a nightmare	The story was as disturbing as a newborn puppy	The story was very disturbing.	The story failed to be disturbing, and in fact seemed cute.	6.775094212497034e-16	5.66106942987153e-21	5.0499053676957666e-15	1.1143993120956925e-28	1.6354378193940602e-27	1.2908004042796924e-41	7.646669679356695e-32	6.540553145164083e-44	0.9999999999999921	8.553466305489396e-13	0.9999532460844617	0.005041506712427153
Their expectations of the house they could afford turned into melted ice.	Their expectations of the house they could afford leapt past the second story.	Their expectations were not met.	Their expectations were exceeded.	6.763234866264735e-33	1.0623098616189818e-34	3.1156458293932678e-15	8.74484739565589e-15	1.6720208626109033e-40	2.8627609956627947e-41	4.6197792658147e-43	5.589592090391729e-43	0.8538137447509466	0.5474962067075494	0.997244621685513	0.019151247475043775
Those that heard the child sing were carried away on gentle waves.	Those that heard the child sing were tortured by the intruding notes.	Those that heard the singing were pleasantly entertained.	Those that heard the singing were unpleasantly inundated.	1.3095759920120794e-29	2.9839167695997696e-34	3.6403040385048696e-25	2.069917061017138e-30	1.4124402041795741e-43	4.422411659986282e-48	4.1883512958169993e-47	3.447997825647305e-51	0.9999686905457406	8.231673406121777e-05	0.9997035549068033	0.0007790571984272853
She sings like an angel	She sings like a bullfrog	her voice is magical	her voice is awful	3.6754601575951385e-10	4.2139272549568996e-14	6.45400470994533e-14	8.007476506759346e-15	3.3345731584493935e-17	9.036223191706355e-21	2.2876167958114688e-23	4.559826814484073e-22	0.9997290875102531	0.9522277431304309	0.9999993139705989	0.0480375886850482
HIs opinions were as firm as concrete	HIs opinions were as firm as a cotton ball	He was very certain of his opinion	He was very uncertain of his opinion	1.794854676269508e-20	3.529678580637929e-24	1.3826208123101093e-14	2.5269868777784853e-17	3.179632065276185e-29	6.918158853436706e-32	7.470382034297095e-34	1.1254006813851144e-34	0.9978289503171643	0.13092474747319113	0.999976506066198	0.0016240924073680056
The pilot landed the plane like he was handling a new born baby.	The pilot landed the plane like it was on a roller coaster.	The landing was smooth and gentle	The landing was bumpy and rough	2.095201979329068e-24	3.653012096063714e-21	1.9167005857117958e-13	1.3199182884191585e-13	7.385505347526594e-30	3.764421975441131e-33	2.9919729487325404e-28	2.3050088793678076e-27	0.99949055561742	0.8851099817546326	0.02408975761917512	0.9999983668540884
The man's personality is like a Beanie Baby	The man's personality is like a drill sergeant	The man has a soft personality.	The man has a hard personality.	1.1801292649216247e-20	3.1673470167164957e-20	4.61703677877533e-18	8.576871418916616e-18	4.21453759296629e-33	1.2991287155687985e-34	5.351074911010808e-34	3.5951227649134503e-32	0.9700968229197802	0.9853340301500715	0.887337373292145	0.9963994244726722
The poster was as colorful as a rainbow	The poster was as colorful as a sidewalk	The poster has a lot of color.	The poster was dull and colorless.	1.0991066108612293e-15	1.0813375500040112e-20	1.801016419351931e-17	1.0836009522391656e-19	2.2265933300801154e-29	2.0189220393745762e-31	1.818856212898299e-33	2.6485383396326805e-35	0.9910141636138808	0.01435256401823295	0.99991831882266	0.00013116855842027015
She is as eager as a beaver	She is as eager as a sloth	she is excited	she is bored	2.336895980136466e-15	1.0762239852691064e-17	3.0833780635836634e-12	3.180090192851238e-12	7.359180142882948e-23	1.796638931468618e-24	3.5735575062831646e-26	3.158264377330469e-26	0.9761682437933179	0.46915447733669335	0.9995146438884552	0.017275063483005584
The motor on the boat is a Babbling drunk	The motor on the boat is a Roaring lion	It is barely running	It is running strong	8.141655231308575e-28	9.354567826468638e-26	2.3587199364631285e-13	5.765114120545942e-12	1.7463424879308952e-34	2.5523266486230905e-35	3.159361718838123e-33	9.166430361874781e-33	0.8724840960849604	0.743678807970336	0.052379862029997074	0.9972233033892293
The lawyer's opening argument was a Russian novel.	The lawyer's opening argument was an airport paperback.	The lawyer's opening argument was long.	The lawyer's opening argument was tawdry.	7.378480355274236e-26	1.1913861808820786e-30	3.7298104622813655e-21	8.33820806649089e-25	5.466717407801016e-35	2.3190191135130828e-38	9.92856541482794e-41	8.655876604520858e-43	0.9995759729991739	0.008642805069808144	0.9999981838191657	3.732420091066482e-05
The house had the cleanliness of a museum	The house had the cleanliness of a paintball arena	The house was very clean.	The house was a mess.	6.935175365158977e-17	3.227317189774193e-20	1.410512613207164e-13	9.662997809341082e-13	3.4345972973939076e-27	5.0152994400513556e-27	6.969736345242656e-31	2.664110806256073e-29	0.4064661858142804	0.9745053935295473	0.9997971138483238	0.005283899682737554
The grapes had the freshness of a secondhand toy.	The grapes had the freshness of an early summer morning.	The grapes weren't fresh.	The grapes were very fresh.	4.4212039361801724e-30	5.982514646137016e-23	2.423984307307284e-18	5.133924405106545e-18	3.119591836689601e-39	5.4267303942220567e-39	7.710046388918017e-34	4.317102354828883e-32	0.365021555752506	0.9824540497856052	4.046122496646448e-06	0.9999998742969411
