x_1	x_2	y_1	y_2	P(x_1)	P(x_2)	P(y_1)	P(y_2)	P(x_1, y_1)	P(x_1, y_2)	P(x_2, y_1)	P(x_2, y_2)	P(y_1|x_1)	P(y_2|x_2)	P(x_1|y_1)	P(x_2|y_2)
The girl had the flightiness of a sparrow	The girl had the flightiness of a rock	The girl was very fickle.	The girl was very stable.	0.000330261761918494	5.064728154915831e-05	2.7911342598467108e-06	0.00011324720203489201	0.0005796274432709663	7.168225618398512e-07	7.827929614309958e-06	1.3574333187024558e-07	0.9987648321797216	0.017045317253435832	0.9866748522941186	0.15921740814605378
It was as peaceful as a church.	It was as peaceful as a battlefield.	It was very peaceful.	It was full of conflict and danger, not peace.	0.0006829680352507563	0.00028248785484530033	1.3109315153961677e-05	0.00041748998582873153	6.801023108278282e-06	1.2116897062778954e-09	1.78431243572767e-07	1.9555681087850496e-08	0.9998218688795282	0.09877258875237435	0.9744347860767304	0.941654159388319
The leaves were as green as grass	The leaves were as green as dirt	The leaves were very green	The leaves were brown and not green at all.	0.022092877665062443	0.009997014805538907	0.00537195971187627	4.8604720263733385e-06	0.0009262420170135229	6.083594068141523e-07	0.0005360677530166963	3.107195811010795e-07	0.9993436271675653	0.0005792916699214215	0.6334102636778401	0.3380771241500058
Shopping for groceries is finding shells on a sunny beach	Shopping for groceries is a scavenger hunt with a list created by a lunatic	Shopping for groceries is a fun, rewarding chore	Shopping for groceries is a crazy, nearly impossible chore	0.011551528651415736	0.04586599665821973	0.0034414065856249506	0.001395896036271587	2.7264777043563346e-06	2.1783124357281296e-05	5.519227831852973e-05	0.00043752574858056214	0.11124120650754304	0.8879840490799964	0.04707417582102405	0.9525741268224333
War is an amputation on the wrong limb	War is an amputation to save your life	War is the wrong solution to a problem	War is a necessary solution	0.09301448921066349	0.2342955620411741	0.001189318291849483	0.028312464630316753	0.0031457002770710523	1.053363065181229e-05	0.0005339778229086999	0.003961034699868069	0.9966625950548096	0.8812065994915542	0.8548846370796298	0.9973477402942144
It's as green as grass in the spring	It's as green as grass during a hot summer	It's fairy green	It's not too green	0.07771651468378461	0.1397677115624728	0.13719827659914044	0.027548784200785322	0.03663905155569193	0.0012463948683920495	0.027602642999289145	0.0058999435258860165	0.967100958652035	0.17610412024315097	0.5703313371401575	0.8255897216692099
This is as peaceful as a sleeping puppy	This is as peaceful as European in the '40s	It's very peaceful	It's not very peaceful	0.06673463136061682	0.07090003335449137	0.010809350309672585	0.021835487843993816	0.0010093613246292047	7.31178891159098e-05	0.005696127334776817	0.00301339629230614	0.9324533088603709	0.34598864660470574	0.15052763130295335	0.9763105287006255
The music was loud like a siren.	The music was loud like a whisper.	The music was very loud.	The music was very quiet.	0.00016868120253849865	0.00045141430670910486	0.0003030652285138832	9.028854143505791e-05	5.930186981438232e-08	2.590706825174666e-08	6.312651182087824e-08	9.777225415526199e-08	0.6959583250334526	0.6076631698328916	0.48438008427698437	0.7905303186696747
Jobs are as available as a marriage man.	Jobs are as available as a bachelor.	Jobs are not available.	Jobs are very available.	0.0010913798127924323	0.0007442563693696527	0.02306287147486253	0.001236695346574107	3.520914126622605e-07	3.028843137928935e-08	3.998115231561079e-06	9.721555640236815e-07	0.9207896758909756	0.19559408410649906	0.08093670978361556	0.9697854129326061
Peace is a human flying	Peace is a human walking	Peace is impossible	Peace is possible	0.20237026791753077	0.2520999388123785	0.06531617143787828	0.06595714935553817	0.0008803805947117196	0.11530710289560436	0.0037944388298150633	0.11850353353390562	0.00757724126786081	0.9689738206081602	0.18832397890980307	0.5068355116069857
