x_1	x_2	y_1	y_2	P(x_1)	P(x_2)	P(y_1)	P(y_2)	P(x_1, y_1)	P(x_1, y_2)	P(x_2, y_1)	P(x_2, y_2)	P(y_1|x_1)	P(y_2|x_2)	P(x_1|y_1)	P(x_2|y_2)
The girl had the flightiness of a sparrow	The girl had the flightiness of a rock	The girl was very fickle.	The girl was very stable.	6.2073255142476236e-21	6.698408495053555e-24	2.2777428265446935e-15	6.097785462751692e-16	8.73876925746612e-32	4.064600723167601e-33	6.687188460476548e-35	2.9382030913596256e-35	0.9555549612087847	0.3052554356398232	0.9992353528370047	0.007176881945656949
It was as peaceful as a church.	It was as peaceful as a battlefield.	It was very peaceful.	It was full of conflict and danger, not peace.	8.82240637460563e-17	1.2305084610205054e-16	7.367307108222352e-13	2.194522992064328e-23	1.1321247387619367e-22	2.3128825695751867e-35	2.789556052904293e-23	6.834945081399859e-34	0.9999999999997956	2.4501909807893326e-11	0.802310615078572	0.9672685225801949
The leaves were as green as grass	The leaves were as green as dirt	The leaves were very green	The leaves were brown and not green at all.	1.2938470411819027e-11	1.6639629302143996e-13	1.5605123377807597e-09	6.883827371992803e-18	1.2915211586455302e-16	1.0655813873566878e-26	1.6196692820325796e-18	7.876967285954478e-28	0.9999999999174941	4.863318314118162e-10	0.9876145356567777	0.06883348615473012
Shopping for groceries is finding shells on a sunny beach	Shopping for groceries is a scavenger hunt with a list created by a lunatic	Shopping for groceries is a fun, rewarding chore	Shopping for groceries is a crazy, nearly impossible chore	5.196809275522899e-22	4.8932180950305555e-27	4.5537243280120344e-15	1.8625129454857616e-20	1.743811075482254e-36	2.7697008307395856e-42	2.566055998935279e-40	1.8522599651094474e-43	0.9999984116992543	0.0007213108017739735	0.9998528694713646	0.06268378451973103
War is an amputation on the wrong limb	War is an amputation to save your life	War is the wrong solution to a problem	War is a necessary solution	9.773441709811029e-19	1.7367643634997205e-17	1.620803032417314e-11	1.841005964569313e-10	3.4400599068401224e-30	3.080428340669918e-30	3.605635035191815e-29	6.023053000787568e-28	0.5275770427396703	0.9435173614712092	0.08709803965228191	0.994911627089868
It's as green as grass in the spring	It's as green as grass during a hot summer	It's fairy green	It's not too green	4.938912067881367e-15	2.179785944136817e-18	5.056731953680308e-14	1.1581866432024128e-09	1.1827859320517111e-24	2.3199393235299361e-23	5.86736633676857e-29	1.7218666449238566e-27	0.04851026333345623	0.9670472703737979	0.9999503961356511	7.421482275132378e-05
This is as peaceful as a sleeping puppy	This is as peaceful as European in the '40s	It's very peaceful	It's not very peaceful	1.6269106164003978e-15	5.107574246545851e-25	5.7731586015555255e-08	1.1605776972862805e-08	7.625356931227255e-22	9.249292513948549e-25	1.5836737541097708e-30	2.121233752532212e-32	0.9987885043127456	0.013217347720741058	0.999999997923148	2.2934010365493938e-08
The music was loud like a siren.	The music was loud like a whisper.	The music was very loud.	The music was very quiet.	2.1869749197923583e-17	1.4992983770775615e-18	2.586238401885226e-12	6.628439268159805e-14	9.376155863551767e-24	7.81943371585995e-26	2.874076630974692e-25	4.665229216238049e-25	0.9917292743024556	0.6187876325461409	0.9702586253709737	0.8564496793558813
Jobs are as available as a marriage man.	Jobs are as available as a bachelor.	Jobs are not available.	Jobs are very available.	8.412164798320169e-26	9.260034267216827e-23	6.507230001144383e-14	1.5517095303442278e-16	1.5399731450329473e-33	1.7105150585377568e-34	3.9353744921276336e-31	7.366701933205618e-32	0.9000297828759336	0.15767618739072314	0.003897902177862982	0.9976834239584986
Peace is a human flying	Peace is a human walking	Peace is impossible	Peace is possible	1.8632415808039248e-16	1.9577331722705442e-15	2.602162812395752e-07	5.001038803992122e-06	2.141658766875561e-24	4.1468427229738994e-24	9.790059050152332e-24	3.122546104680256e-23	0.3405674261718001	0.7613084260053263	0.1794929112234933	0.8827658285995742
Plants are a lullaby	Plants are a loud drum	Plants are calming	Plants are disturbing	1.0030369026949071e-12	4.96709964475398e-16	2.133577805141837e-09	6.90025753014502e-11	4.952696100322842e-18	5.722010135721021e-22	5.77641300958894e-25	3.2435388893815935e-25	0.9998844801091398	0.3595960295255882	0.9999998833683267	0.0005665319082306537
The car was as ugly as a one eyed rat	The car was as ugly as a swan	it was hideous	it was beautiful	7.38001545211303e-22	3.014711622815161e-15	5.827464582816703e-09	3.952617479498647e-06	5.5824237800814e-31	2.893791677489357e-32	4.312248001066927e-24	3.332906351463331e-25	0.9507171527518882	0.07174423920366096	1.294550558322997e-07	0.9999999131751355
