x_1	x_2	y_1	y_2	P(x_1)	P(x_2)	P(y_1)	P(y_2)	P(x_1, y_1)	P(x_1, y_2)	P(x_2, y_1)	P(x_2, y_2)	P(y_1|x_1)	P(y_2|x_2)	P(x_1|y_1)	P(x_2|y_2)
The girl had the flightiness of a sparrow	The girl had the flightiness of a rock	The girl was very fickle.	The girl was very stable.	7.210856331038284e-19	1.1175066543811702e-21	1.572001417989411e-17	7.954368782537728e-18	3.703277865792958e-32	1.0965628734912911e-33	4.889802131567527e-35	1.214872426412239e-34	0.9712409700915591	0.7130149627960517	0.9986813427629326	0.09973911666866665
It was as peaceful as a church.	It was as peaceful as a battlefield.	It was very peaceful.	It was full of conflict and danger, not peace.	5.794799063588346e-17	2.701168988408717e-19	2.5486872110488987e-13	6.367958529408631e-25	6.379364842982925e-24	1.417746944924704e-35	3.501365270087831e-26	5.4275875001449896e-36	0.9999999999977777	1.5501346133953887e-10	0.9945413803185392	0.27684630114340497
The leaves were as green as grass	The leaves were as green as dirt	The leaves were very green	The leaves were brown and not green at all.	1.347214998448812e-13	1.5240204485644117e-16	1.6399984221744718e-12	3.891152514357743e-19	1.9753647569760494e-20	1.416185176842436e-27	1.5664236014579285e-23	2.5195104849290463e-30	0.9999999283076673	1.6084474706165168e-07	0.9992076488970141	0.0017759231413236821
Shopping for groceries is finding shells on a sunny beach	Shopping for groceries is a scavenger hunt with a list created by a lunatic	Shopping for groceries is a fun, rewarding chore	Shopping for groceries is a crazy, nearly impossible chore	5.458543259529972e-22	1.1583396649078183e-23	1.3061621055375024e-16	1.6674772328188386e-20	3.2637674103191993e-34	4.0558218533429135e-39	2.855873323070833e-37	2.567986409504429e-39	0.9999875733441047	0.008911813326722407	0.99912574145376	0.3876903297319391
War is an amputation on the wrong limb	War is an amputation to save your life	War is the wrong solution to a problem	War is a necessary solution	2.36715181250415e-21	1.1121323877485916e-19	1.2531194901090295e-14	2.8207722610318443e-14	1.5870378609154021e-28	2.479454505731021e-31	7.565065458788292e-29	2.870401744984419e-28	0.998440121109927	0.7914183416810984	0.6771955574276207	0.9991369449923055
It's as green as grass in the spring	It's as green as grass during a hot summer	It's fairy green	It's not too green	1.8706634977722687e-15	5.92669367404166e-19	7.970296849183392e-15	6.713961545009659e-13	8.241316501260644e-25	1.0621820860997778e-23	2.900373208969215e-28	2.531595629276241e-27	0.07200201550068684	0.8972094081623472	0.9996481929996346	0.0002382823461110922
This is as peaceful as a sleeping puppy	This is as peaceful as European in the '40s	It's very peaceful	It's not very peaceful	9.690917571863395e-18	1.1230245517735383e-27	1.9864971906794737e-11	1.0136512972633668e-12	1.7251171270572093e-24	5.787040834038733e-26	1.771511314356893e-33	1.195937203962878e-34	0.9675430101492647	0.06324012585154831	0.9999999989731065	2.0665781282499516e-09
The music was loud like a siren.	The music was loud like a whisper.	The music was very loud.	The music was very quiet.	1.6730476581970242e-18	4.129457336118022e-19	6.682083414417025e-14	3.1536229605219905e-15	1.3605832357898727e-25	1.995990130480123e-28	4.8493451922872875e-27	1.3998623303718405e-27	0.9985351382932379	0.2240063760558521	0.9655849448466932	0.8752086045285445
Jobs are as available as a marriage man.	Jobs are as available as a bachelor.	Jobs are not available.	Jobs are very available.	4.77571133349194e-27	1.650193214183897e-23	6.177533205326786e-15	4.222135020102664e-17	1.609169037333464e-33	9.598194967242196e-35	1.0226136478318979e-30	3.1129712038145765e-31	0.9437105860983261	0.23337177253498753	0.0015711122724762696	0.999691765973768
Peace is a human flying	Peace is a human walking	Peace is impossible	Peace is possible	2.257238348717873e-19	7.087674116232126e-18	4.564098558803881e-11	3.0222167911232235e-09	3.1138239521398033e-25	3.14315971363437e-24	1.3341304344332727e-24	3.4019920635044734e-23	0.09013709643787979	0.9622637181857482	0.189231216921433	0.9154225192275783
