x_1	x_2	y_1	y_2	P(x_1)	P(x_2)	P(y_1)	P(y_2)	P(x_1, y_1)	P(x_1, y_2)	P(x_2, y_1)	P(x_2, y_2)	P(y_1|x_1)	P(y_2|x_2)	P(x_1|y_1)	P(x_2|y_2)
The girl had the flightiness of a sparrow	The girl had the flightiness of a rock	The girl was very fickle.	The girl was very stable.	1.7005784730232826e-21	3.726476884686463e-24	4.114687890074756e-21	6.7446742970335455e-21	4.0195419447920253e-35	6.6516649435333685e-37	2.21952867352303e-37	2.4305256412336746e-37	0.9837210730337285	0.5226875809859959	0.9945084785418266	0.267614472362013
It was as peaceful as a church.	It was as peaceful as a battlefield.	It was very peaceful.	It was full of conflict and danger, not peace.	7.264466344287942e-21	1.4800590057889192e-23	5.2112150105552756e-17	1.0914070079644696e-29	2.1248349904366625e-27	9.191613260037895e-39	7.4272312277763095e-31	1.1788394396119852e-40	0.9999999999956742	1.5871855921440356e-10	0.9996505782319604	0.012662761626971535
The leaves were as green as grass	The leaves were as green as dirt	The leaves were very green	The leaves were brown and not green at all.	7.728934043567107e-16	1.851746595956996e-18	7.624482399248216e-15	2.0256428177216645e-22	2.7264229193202996e-23	4.28509387853261e-31	1.6105450593275357e-25	1.4666413635112296e-33	0.9999999842830921	9.106490635956828e-09	0.9941275172319246	0.0034109840173714035
Shopping for groceries is finding shells on a sunny beach	Shopping for groceries is a scavenger hunt with a list created by a lunatic	Shopping for groceries is a fun, rewarding chore	Shopping for groceries is a crazy, nearly impossible chore	1.6381947358063625e-23	4.5484014581733086e-27	1.2110227458701843e-19	9.377734523772223e-23	1.701779022374374e-36	4.0208526445362865e-39	3.138937194447909e-42	4.352547712544045e-43	0.9976428344828601	0.1217771108634001	0.9999981555000013	0.00010823765473975506
War is an amputation on the wrong limb	War is an amputation to save your life	War is the wrong solution to a problem	War is a necessary solution	1.1812219151624256e-23	5.814799092732558e-23	5.192282071219123e-18	1.9346276976466492e-17	1.5061026578003508e-33	6.442174924074877e-36	1.0371123564339572e-33	1.2250561108025512e-32	0.9957408370418541	0.9219492893765098	0.5922042176421315	0.9994744086482349
It's as green as grass in the spring	It's as green as grass during a hot summer	It's fairy green	It's not too green	1.3794800339226049e-19	1.0030298860002919e-22	4.004532138955032e-18	1.3461392752784863e-16	1.0546896536225898e-28	1.469529252501704e-28	8.926368032780761e-32	4.6462624617513346e-32	0.4178281253910616	0.34232586407057497	0.9991543654991427	0.00031607359247706247
This is as peaceful as a sleeping puppy	This is as peaceful as European in the '40s	It's very peaceful	It's not very peaceful	6.52692460716871e-20	1.8255887016791202e-29	4.023725024419679e-15	5.8101856594164e-16	2.361355658925301e-26	5.874084848294835e-29	2.957228963411948e-35	4.684245980155875e-37	0.9975185826961894	0.015592991378164563	0.9999999987476562	7.974426763960467e-09
The music was loud like a siren.	The music was loud like a whisper.	The music was very loud.	The music was very quiet.	1.8533550259293514e-21	1.16036136934779e-22	8.334171593846279e-17	4.0499437801449815e-18	9.215705176673824e-30	1.1885161315864836e-32	6.4147504869233805e-31	1.497430828901138e-31	0.9987119972950106	0.1892563844443563	0.9349230678524487	0.9264660618306388
Jobs are as available as a marriage man.	Jobs are as available as a bachelor.	Jobs are not available.	Jobs are very available.	2.8639894647515295e-30	4.115489519926284e-28	1.5471272713007182e-18	1.0467931520386931e-21	1.380447228143252e-36	3.0496089521174867e-37	9.623565470665684e-35	4.4498044516548334e-35	0.8190581313891566	0.31618613567439846	0.014141593454175035	0.9931932937889095
Peace is a human flying	Peace is a human walking	Peace is impossible	Peace is possible	2.0070080829506766e-20	1.8325054882003983e-19	1.2061331610236836e-12	4.027303514612794e-11	2.169656109376579e-26	2.57739544970597e-26	4.081006227497709e-26	2.1658037505773474e-25	0.4570534114434398	0.8414468591067951	0.3471081930913483	0.8936517678705945
Plants are a lullaby	Plants are a loud drum	Plants are calming	Plants are disturbing	2.434432178032988e-22	1.504215546803715e-23	3.723490013396004e-18	8.326663504145007e-19	3.2303709951541544e-28	3.324488442135684e-32	9.823838225862905e-32	5.505672949803427e-32	0.999897097071899	0.3591551541801926	0.9996959837853149	0.6235076240882135
The car was as ugly as a one eyed rat	The car was as ugly as a swan	it was hideous	it was beautiful	3.1304654112955415e-23	2.873643963720048e-21	1.083111368730346e-15	3.248596842248776e-14	7.3037194524091054e-31	1.0125743253204182e-32	5.066830628565987e-29	7.887904417596921e-30	0.9863257598091953	0.13470653792080522	0.014209936332600329	0.998717940670397
