x_1	x_2	y_1	y_2	P(x_1)	P(x_2)	P(y_1)	P(y_2)	P(x_1, y_1)	P(x_1, y_2)	P(x_2, y_1)	P(x_2, y_2)	P(y_1|x_1)	P(y_2|x_2)	P(x_1|y_1)	P(x_2|y_2)
The girl had the flightiness of a sparrow	The girl had the flightiness of a rock	The girl was very fickle.	The girl was very stable.	2.141757896230711e-23	7.96560582308622e-25	1.1640449745813442e-23	4.546626246325741e-22	2.2954970372552207e-42	1.3897165071763448e-41	1.4547653362000539e-43	4.0813777838187314e-42	0.1417615597608697	0.9655827897782489	0.9404022495959087	0.22701382512496
It was as peaceful as a church.	It was as peaceful as a battlefield.	It was very peaceful.	It was full of conflict and danger, not peace.	1.261705133783301e-22	6.660976995705611e-24	6.6530336207381996e-15	1.2096782384275427e-28	2.814684144919408e-32	6.692491445588277e-44	3.561947363060558e-34	1.6723946691053554e-43	0.9999999999976223	4.695169517842493e-10	0.9875032703888837	0.7141968643336952
The leaves were as green as grass	The leaves were as green as dirt	The leaves were very green	The leaves were brown and not green at all.	9.969980219220568e-17	4.464222280418537e-20	1.0263189792618006e-14	1.1718987307052365e-25	2.8714370467196934e-24	3.0311941425876265e-35	3.82054880466688e-28	5.768846638790694e-37	0.9999999999894437	1.5099523458601665e-09	0.99986696415514	0.018676160181768788
Shopping for groceries is finding shells on a sunny beach	Shopping for groceries is a scavenger hunt with a list created by a lunatic	Shopping for groceries is a fun, rewarding chore	Shopping for groceries is a crazy, nearly impossible chore	3.230814649563266e-28	3.350705031186652e-31	2.3591143709177316e-18	4.401675282475694e-26	1.9422435680361212e-40	1.6375436894754145e-47	2.400898493804384e-45	4.902035184646198e-50	0.9999999156880436	2.0417085986858524e-05	0.9999876386831443	0.0029845949312332855
War is an amputation on the wrong limb	War is an amputation to save your life	War is the wrong solution to a problem	War is a necessary solution	2.5543961429716375e-24	6.468119204984534e-24	2.0528208700618892e-16	5.031064588516586e-14	1.7644625940447e-34	4.303019604678571e-36	2.4128570850191522e-34	1.4487377968156645e-31	0.976193434196433	0.9983372800897458	0.42239108557765925	0.9999702990298847
It's as green as grass in the spring	It's as green as grass during a hot summer	It's fairy green	It's not too green	2.057631531071818e-19	1.5495221139231617e-22	1.4689153608045416e-17	4.08163626159532e-15	4.593027685606839e-31	3.711710844269557e-30	2.130761949721546e-33	6.81867218253286e-33	0.11011778219755654	0.7619109858530467	0.9953822992720865	0.00183370123925725
This is as peaceful as a sleeping puppy	This is as peaceful as European in the '40s	It's very peaceful	It's not very peaceful	7.14952262933868e-21	4.470151392789034e-28	4.002245967415997e-12	1.92845605985127e-14	1.2267274587472435e-29	5.30589736901534e-31	6.067998795114239e-36	3.4380404609678813e-37	0.9585407593444316	0.05362049560960178	0.9999995053509441	6.479654607179927e-07
The music was loud like a siren.	The music was loud like a whisper.	The music was very loud.	The music was very quiet.	1.0804647816085337e-25	5.537223321330512e-25	1.5233322638234475e-19	7.775850520352186e-20	3.190933186024794e-36	5.466437970003831e-38	3.995506003235633e-37	7.8570005209097e-38	0.9831573759244454	0.16433093303218846	0.8887195642429235	0.5897126726158647
Jobs are as available as a marriage man.	Jobs are as available as a bachelor.	Jobs are not available.	Jobs are very available.	7.603569843787358e-30	1.3931939444362003e-25	1.5991036515482223e-17	1.3170782003654723e-18	2.0283316041646805e-39	1.7909584952866251e-40	6.219843808853156e-35	1.225900384114916e-35	0.9188667110083235	0.16464444014510782	3.260958833434186e-05	0.9999853908820475
Peace is a human flying	Peace is a human walking	Peace is impossible	Peace is possible	9.950141967473421e-18	6.434819771352503e-17	5.156609996631309e-12	5.3018946750779575e-11	1.5580711810956989e-27	1.5106817365915776e-27	1.9180117613228624e-26	7.49241625077949e-26	0.5077212870790255	0.7961823034131722	0.07513053316990322	0.9802356928763869
Plants are a lullaby	Plants are a loud drum	Plants are calming	Plants are disturbing	4.181589863778707e-21	1.163988434286661e-21	4.703475455098964e-15	3.1469637119745874e-16	1.4379060339851548e-26	3.7728665756354424e-30	1.4978208361841525e-29	2.0061778159088973e-31	0.9997376826581045	0.013216949696580667	0.9989594158504111	0.05048913335371221
The car was as ugly as a one eyed rat	The car was as ugly as a swan	it was hideous	it was beautiful	1.5253713665521952e-29	7.089074776478572e-27	1.5365407732467809e-10	6.9908636873943745e-09	2.5078127351734456e-37	2.0914498993682822e-38	5.715299848912676e-34	1.6991471320823271e-34	0.9230223613698886	0.22916707563458838	0.00043859690349407526	0.9998769269324164
The man was as handsome as a prince	The man was as handsome as a hobo	he was good looking	he was ugly	4.073592324725641e-16	4.056099339194138e-17	7.17261120532277e-12	2.228739048849917e-14	5.630024566065597e-25	2.501728155955612e-28	3.2580834203422065e-26	1.2320791392330817e-28	0.9995558426139045	0.003767360422336354	0.9452959229948967	0.3299793057935029
The conversation was sharp as a tack	The conversation was sharp as a rock	The conversation was sharp and witty.	The conversation was dull and not sharp.	1.3850225163411922e-18	2.2601236207793008e-20	2.5903932248938924e-21	8.334383529958946e-27	1.2846554677579502e-33	1.2603960256126706e-38	3.3974563927711406e-36	4.303010846965198e-40	0.9999901889363224	0.0001266378556632284	0.9973623316798018	0.033013077875676734
He ate it like a fat boy eats cake	He ate it like a young boy eats broccoli	The food was tasty to him	The food was unpalatable to him	5.016823846990554e-22	5.903614703085586e-25	3.9539714598605545e-17	3.251598013680446e-21	2.413772169189023e-31	3.070410176043867e-37	4.800773020381003e-34	6.118477969245585e-38	0.9999987279635131	0.00012743152522091985	0.9980150389774909	0.1661610352713343
He picked it up like a mother holding a baby	He picked it up like a playboy holding a condom	He held it with pride and care	He held it with disgust and caution	1.363873998459011e-23	2.0867565202203393e-30	2.4807727266333866e-21	2.353902336017659e-24	2.3910943375681294e-35	4.116549877278296e-39	8.263682508374018e-44	9.03231274657979e-47	0.9998278678836644	0.0010918196676524986	0.9999999965439748	2.194146267546126e-08
He rushed through the math test like an ape	He rushed through the math test like a rocket scientist	He rushed because he is dumb	He rushed because he is smart	4.2041859092138377e-23	1.0038863119101079e-24	8.900940701627098e-23	8.601305181619639e-20	7.256724092212922e-40	3.47526264415078e-38	1.4976387657180752e-43	2.222787404996015e-40	0.020453979833544904	0.9993266875709486	0.9997936631283492	0.006355377930058014
The bear was as hungry as a lion	The bear was as hungry as a piece of paper	it was starving	it didn't need food	4.323744251699143e-17	7.398587540438792e-23	2.41011975018707e-12	1.219114708684568e-13	4.105995060687877e-24	2.997946627228787e-29	3.343813298469444e-29	2.1870405430832196e-33	0.9999926986645284	6.54013042169648e-05	0.9999918563319776	7.294596199427245e-05
That conversation had the ease of doing your taxes blindfolded.	That conversation had the ease of a Sunday morning.	Having that conversation was difficult	Having that conversation was easy.	1.78917715030034e-39	1.0958182651139478e-26	1.2428507495859655e-14	3.645051743300712e-20	1.1662735555943703e-50	1.670755467561461e-51	2.0402045492715953e-39	2.5027641352911728e-39	0.8746948218875205	0.5509093962711407	5.716454048708462e-12	0.9999999999993324
Their conversations were artillery bombardments.	Their conversations were a hug with words.	Their conversations were heated and antagonistic.	Their conversations were friendly.	8.300761382175509e-32	2.226612583559794e-27	9.061126723624533e-25	1.4249372151626662e-19	2.2611285471490607e-46	4.724418762135663e-40	2.006150260953591e-43	9.57083683647362e-37	4.786043699354287e-07	0.9999997903892966	0.0011258293788660213	0.9995066170393351
The story was as disturbing as a nightmare	The story was as disturbing as a newborn puppy	The story was very disturbing.	The story failed to be disturbing, and in fact seemed cute.	2.0843644859286708e-20	1.1879202344901792e-28	1.0604139586122212e-21	4.0694370910188695e-35	5.871078473848649e-38	1.758473756538931e-51	2.178617126227922e-45	1.6082587443208457e-58	0.9999999999999701	7.382016440425589e-14	0.9999999628923877	9.145763997062478e-08
Their expectations of the house they could afford turned into melted ice.	Their expectations of the house they could afford leapt past the second story.	Their expectations were not met.	Their expectations were exceeded.	6.502844374324552e-42	2.83647358904628e-43	1.13657482721285e-19	4.560527282830462e-20	4.9003263199219385e-53	5.1938311736019823e-54	9.099258639720931e-56	6.835233603402573e-56	0.9041677190685969	0.4289583564454213	0.9981465736685255	0.012989348605737574
Those that heard the child sing were carried away on gentle waves.	Those that heard the child sing were tortured by the intruding notes.	Those that heard the singing were pleasantly entertained.	Those that heard the singing were unpleasantly inundated.	1.205876905326062e-36	1.657440338073433e-40	4.52210459352867e-27	2.958447555206866e-35	2.0244279368976946e-54	1.0357725690595475e-62	1.3219042664633584e-57	6.2148157214387016e-65	0.9999999948836283	4.701411128569749e-08	0.9993474494038693	0.005964386721193352
She sings like an angel	She sings like a bullfrog	her voice is magical	her voice is awful	5.955810166032915e-10	6.52247929936893e-17	1.9908202718062673e-12	4.0363598917128926e-16	4.2345226934398826e-17	3.2688228249570346e-21	7.858277452767338e-26	1.4788256846469179e-27	0.9999228113592583	0.018471098263401292	0.9999999981442353	4.5240292754052415e-07
HIs opinions were as firm as concrete	HIs opinions were as firm as a cotton ball	He was very certain of his opinion	He was very uncertain of his opinion	4.968301080950363e-28	5.926671048981182e-34	1.3895963549605074e-16	2.22511873635826e-19	2.48162330896327e-37	2.178130171057738e-42	1.0512382037736105e-45	1.4536909806462546e-48	0.9999912230391863	0.0013809273044565504	0.9999999957639091	6.674027244859273e-07
The pilot landed the plane like he was handling a new born baby.	The pilot landed the plane like it was on a roller coaster.	The landing was smooth and gentle	The landing was bumpy and rough	6.1589351294048475e-33	1.1238708165723564e-31	1.0098206519792245e-16	8.821358648777983e-18	1.1239679958236546e-41	6.616792864189999e-44	9.097796294333881e-42	2.1883073580203826e-42	0.9941474598540553	0.19389396247161925	0.5526585412394017	0.9706504085303767
The man's personality is like a Beanie Baby	The man's personality is like a drill sergeant	The man has a soft personality.	The man has a hard personality.	6.894454981635515e-30	4.462245006820949e-21	2.180105824911145e-22	1.6973962428411446e-21	9.568889824973425e-47	9.568597810086439e-47	1.4058970958641861e-37	3.7400563992085946e-35	0.5000076293945306	0.9962550509048379	6.806251927406343e-10	0.9999999999974416
The poster was as colorful as a rainbow	The poster was as colorful as a sidewalk	The poster has a lot of color.	The poster was dull and colorless.	8.128073557939548e-18	2.529795512343606e-23	6.521719630214542e-21	7.014705446347462e-24	6.153178541716549e-34	1.1011811827147419e-35	1.1793303053885875e-39	8.639551745684024e-42	0.9824185051021223	0.0072725344787157595	0.999998083383999	7.84570704890339e-07
She is as eager as a beaver	She is as eager as a sloth	she is excited	she is bored	1.6036004469179959e-16	5.857170411640834e-21	6.137950479244633e-12	2.0054501580381146e-13	5.731061240181937e-27	4.494482758513118e-28	1.3617733513224242e-31	2.490252292453489e-30	0.9272797372635104	0.9481511578677173	0.9999762392873232	0.005510157106280879
The motor on the boat is a Babbling drunk	The motor on the boat is a Roaring lion	It is barely running	It is running strong	1.215996936762171e-30	1.0016742670866197e-26	4.1733616828035215e-16	1.2391162764417578e-13	3.785273935837957e-40	9.703159171570983e-41	1.1624492703831049e-35	1.2994118870561175e-33	0.7959630777355627	0.9911333561117812	3.256185690617059e-05	0.9999999253265377
The lawyer's opening argument was a Russian novel.	The lawyer's opening argument was an airport paperback.	The lawyer's opening argument was long.	The lawyer's opening argument was tawdry.	5.234151595858819e-30	5.4722729217737933e-33	8.333883335846927e-25	2.4571629467696562e-27	2.233450981800731e-43	5.599739472243074e-47	3.100549416060599e-47	2.1745940012505104e-49	0.9997493414498333	0.006964728679561843	0.9998611960113432	0.003868361903972229
The house had the cleanliness of a museum	The house had the cleanliness of a paintball arena	The house was very clean.	The house was a mess.	5.71286436045223e-17	4.209983790112821e-21	1.261304755209451e-16	2.0213494997423833e-16	3.2279763120693275e-31	1.5629441910640657e-30	7.017713784653944e-36	4.8772671674311255e-34	0.1711780623384529	0.9858154769379257	0.9999782601836494	0.0003119590378040953
The grapes had the freshness of a secondhand toy.	The grapes had the freshness of an early summer morning.	The grapes weren't fresh.	The grapes were very fresh.	9.335177761545279e-33	2.54765683042932e-28	4.388690361001491e-22	1.0339826700989806e-20	1.762078326411455e-45	2.4594579770931407e-44	4.57373213322593e-43	5.023250543156621e-40	0.06685514984121217	0.9990903158338877	0.003837819393240005	0.999951040913784
The toy had the enjoyment of an execution	The toy had the enjoyment of roller coaster	The toy was not fun	The toy was fun	6.465145854369155e-28	5.879045055032646e-27	6.63979204596721e-17	1.0405502414167138e-14	4.2515069723430034e-37	1.467949635690161e-35	6.739019725683242e-35	6.305134378418656e-33	0.028147013015963642	0.9894248823277877	0.006269240077073217	0.9976772264741068
The movie's message was as heartwarming as a cup of mint tea	The movie's message was as heartwarming as a Popsicle	The movie message was very heartwarming.	The movie's message wasn't heartwarming at all.	2.8156843113387667e-31	8.913145469868715e-29	3.561845010773822e-23	3.9120458023788824e-28	1.153906472312781e-47	5.6575778031991136e-49	9.112435195767571e-46	3.3663738384771997e-46	0.9532617863534331	0.26976723734124647	0.012504640767448484	0.9983222048952795
The book was as classic as pancakes for breakfast	The book was as classic as a bride wearing purple	The book was very classic.	The book wasn't a classic.	4.1504668451553516e-24	1.1916458676958396e-29	1.1639680099042952e-18	1.9672227349509797e-18	3.352535899169933e-37	6.380877041687786e-38	3.9385213108919404e-42	3.8600711658609364e-44	0.8401032601433698	0.00970568955132398	0.9999882522509509	6.049433025457144e-07
The toy was as new as A quarter from this year.	The toy was as new as A quarter from the year you were born.	The toy was recent	The toy was dated.	1.5332673239635956e-33	6.712586305916445e-37	1.8338029108118008e-15	1.8403988158748024e-21	8.93027342981701e-42	1.0340528769487948e-44	5.162900620399231e-45	2.974326691664381e-48	0.9988434207295622	0.0005757643617252756	0.9994221993835027	0.0002875550636962591
The woman was as tall as a tree	The woman was as tall as a footstool	The woman was tall	The woman was short	3.846193825781456e-15	1.2815998470592354e-20	1.7184101089662176e-14	8.262705385472383e-14	4.4666513675659936e-23	1.189397534611606e-22	4.377021427456813e-29	2.6580518846851835e-28	0.2730122412627767	0.8586121058497254	0.9999990200674335	2.2347834657171686e-06
Tom had the joy of a robot.	Tom had the joy of a dog.	Tom is not very joyful.	Tom is very joyful.	2.0961634393438298e-22	4.0282699507085215e-23	1.8270234013016532e-22	1.1451477259606352e-20	4.883549874701845e-38	1.4675912932933833e-35	7.3031566599794896e-40	3.834036229464268e-37	0.003316559123139043	0.998098799422316	0.9852657386013584	0.025459563289193087
The movie has a depth of A canyon.	The movie has a depth of A pothole.	The movie is deeply philosophical.	The movie has little substance.	5.085752320897221e-28	6.654927164305161e-33	9.504795529440061e-23	7.856259271354705e-21	7.000266889681771e-40	1.834823116044616e-39	1.6399083267632036e-45	6.932412154420374e-43	0.27616101261062453	0.9976400160104092	0.9999976573686248	0.0003776818510497306
The movie has a depth of A valley.	The movie has a depth of A flatland.	The movie is expansive in it's meaning.	The movie lacks depth.	2.411944191977092e-28	1.730263072313199e-33	1.2748925926531174e-24	4.1841333083324285e-18	4.21710321184779e-44	6.214788886412858e-36	2.775730460236677e-49	4.5480717926933424e-42	6.785593622418814e-09	0.9999999389690749	0.9999934179647714	7.318138310851972e-07
She was as delicate as An elephant	She was as delicate as A snowflake	She was a lumbering clod	She was fragile	2.032702309877218e-22	7.997046713908364e-20	1.4635220488379835e-19	5.751185008768132e-13	7.298102874772017e-36	3.112071998300519e-29	8.748662234351202e-35	4.322139147513174e-27	2.345093933329236e-07	0.9999999797584904	0.07699661372615561	0.9928511687952815
Her dinner tasted like An old shoe	Her dinner tasted like Manna from heaven	The food was disgusting	The food was gloriously delicious	2.3557426394161647e-25	5.802138270659112e-26	2.0190350065107844e-11	5.799562527647963e-14	4.655132960983512e-32	1.6224392185421858e-41	6.72212552073928e-35	1.3520600304270048e-35	0.999999999651473	0.16745466423318758	0.9985580578126079	0.9999988000257126
The boy's lemonade stand was as successful as a Fortune 500 company	The boy's lemonade stand was as successful as the 1962 New York Mets	The boy's lemonade stand was a wild success.	The boy's lemonade stand did terribly.	4.0396419121460164e-23	1.1048131818917502e-26	1.607801964880489e-24	1.2695835181292872e-31	3.4040838165212125e-37	1.1439537337357464e-46	3.9020788229042893e-41	2.7435806011199813e-49	0.9999999996639467	7.0310742205551734e-09	0.999885383798057	0.002392593552646969
He is as famous as a movie star	He is as famous as a roach in a dumpster	people know him	no one knows him	2.2866314913385743e-15	1.7680281821117144e-25	1.879457119572232e-12	8.789092836500511e-15	6.660904156460665e-23	4.884047934258701e-25	1.2652309352677363e-33	1.234960474111303e-33	0.9927209630181789	0.4939463712572407	0.9999999999810051	2.528559276263684e-09
She is as fancy as a prom queen	She is as fancy as dish water	she is elegant	she is dirty	7.916660540372945e-23	1.7065463232114102e-26	1.466625517148402e-13	7.074371636207213e-14	1.5025054076941782e-32	5.806783707134078e-35	2.2814217687504748e-37	7.379279747474834e-38	0.9961501446847425	0.2443996348341493	0.9999848161136977	0.0012691903828848006
Her face glowed like the sun	Her face glowed like the reflection of a dusty mirror	Her face was luminous	her face was dull	9.333469815777345e-14	2.0139524366517206e-24	2.8792393387816335e-14	1.5195114560744335e-14	6.691443130159875e-22	3.533002322518424e-26	1.2208800911004212e-33	5.593368896115049e-35	0.9999472039778964	0.04380724098893513	0.9999999999981755	1.5831772460519195e-09
