x_1	x_2	y_1	y_2	P(x_1)	P(x_2)	P(y_1)	P(y_2)	P(x_1, y_1)	P(x_1, y_2)	P(x_2, y_1)	P(x_2, y_2)	P(y_1|x_1)	P(y_2|x_2)	P(x_1|y_1)	P(x_2|y_2)
The girl had the flightiness of a sparrow	The girl had the flightiness of a rock	The girl was very fickle.	The girl was very stable.	1.6976116605651742e-19	1.2644184210493822e-21	1.037061456771247e-17	3.2207898164100726e-18	1.838648248410502e-32	5.649533477345303e-34	1.2690925244017252e-34	2.8841347709813715e-34	0.97018941716356	0.6944322007580701	0.9931450025880642	0.3379712788280594
It was as peaceful as a church.	It was as peaceful as a battlefield.	It was very peaceful.	It was full of conflict and danger, not peace.	3.968356775165783e-17	2.362706626334263e-19	2.3738893139975604e-13	1.0503595492071785e-24	2.2522107244218092e-23	2.604871816284194e-35	1.7400066795630486e-25	1.8018854906314588e-36	0.9999999999988434	1.0355623985680845e-11	0.9923334578497061	0.06469825620482506
The leaves were as green as grass	The leaves were as green as dirt	The leaves were very green	The leaves were brown and not green at all.	4.4669870544467605e-14	7.648711854469195e-17	7.247473100851287e-13	5.427442585024063e-21	4.1993196853403805e-20	1.663398938991659e-27	2.725913343522072e-23	1.2060554020303217e-30	0.9999999603888486	4.424408250304827e-08	0.9993512889664081	0.000724529486630317
Shopping for groceries is finding shells on a sunny beach	Shopping for groceries is a scavenger hunt with a list created by a lunatic	Shopping for groceries is a fun, rewarding chore	Shopping for groceries is a crazy, nearly impossible chore	1.8544714772154118e-22	6.86628724957958e-24	4.775389503790716e-17	1.0504298049642603e-20	2.588981856378707e-35	4.393507851069064e-40	6.728400691069557e-38	6.901524593726835e-40	0.9999830302661891	0.010153159167667255	0.997407876833424	0.6110229986020678
War is an amputation on the wrong limb	War is an amputation to save your life	War is the wrong solution to a problem	War is a necessary solution	3.878019365658639e-21	8.170623679104095e-20	1.7045194625222692e-15	1.7103823930811383e-14	1.374745790379304e-28	3.5812861270436867e-31	5.773889783966433e-29	3.9527428643128625e-28	0.9974017153199071	0.8725447738732252	0.7042268865695758	0.9990947945641296
It's as green as grass in the spring	It's as green as grass during a hot summer	It's fairy green	It's not too green	5.283679599742776e-16	7.393467717051604e-19	8.451259537287597e-15	8.256093095695169e-13	9.921641881229346e-25	2.3985257411601914e-24	1.2942166046179015e-27	2.952495520224308e-27	0.2926142492577321	0.6952426803203693	0.9986972614067593	0.0012294492097107523
This is as peaceful as a sleeping puppy	This is as peaceful as European in the '40s	It's very peaceful	It's not very peaceful	2.1535865168464993e-17	6.762194364971601e-28	1.551062489700575e-11	7.06197228508637e-13	1.609828040121057e-23	2.2438986432487285e-25	7.073139329757624e-34	3.726441812608213e-35	0.9862528703530413	0.05004767875796733	0.9999999999560628	1.660699703705957e-10
The music was loud like a siren.	The music was loud like a whisper.	The music was very loud.	The music was very quiet.	5.633156766490204e-19	2.403954570273571e-19	2.4353802207406516e-14	1.1932919686910787e-15	3.3461424404264695e-25	2.4887828287381087e-28	5.813348587365403e-26	6.740846916940546e-27	0.9992567760786992	0.10390622341657176	0.8519826304634709	0.9643936956376453
Jobs are as available as a marriage man.	Jobs are as available as a bachelor.	Jobs are not available.	Jobs are very available.	8.81482606617746e-27	2.3959847059326954e-23	8.542664267105921e-15	1.1749389916320556e-16	6.008144654584767e-33	5.257112935944037e-34	2.6983217327714015e-30	2.0723641931785182e-32	0.9195404218023958	0.007621660941957393	0.0022216759518640496	0.9752598920061948
Peace is a human flying	Peace is a human walking	Peace is impossible	Peace is possible	2.1256138144885974e-19	9.047032697874907e-18	2.2949466166082216e-11	2.6377846599744646e-09	2.201429671851222e-25	2.987166418299369e-24	1.85547440427288e-24	7.302300523165246e-23	0.06863789573323865	0.9752201912579612	0.10606143994183495	0.9607004384616297
Plants are a lullaby	Plants are a loud drum	Plants are calming	Plants are disturbing	1.6381014192655086e-15	3.042573494304199e-18	1.1182330148333644e-11	4.1747533348513247e-13	4.670583085747454e-20	6.758497994741578e-23	3.528236361307586e-25	2.6494107459962465e-25	0.9985550557140763	0.4288705230287188	0.99999244589028	0.003904810360997453
The car was as ugly as a one eyed rat	The car was as ugly as a swan	it was hideous	it was beautiful	4.048503129335806e-20	1.2206845040866976e-18	6.8793856690873386e-12	4.802800773942277e-10	2.297441838078177e-27	1.2599463974091637e-27	6.526954477831287e-26	7.450576163769412e-26	0.6458226333464673	0.5330395156920347	0.034002431559095776	0.983370492666347
The man was as handsome as a prince	The man was as handsome as a hobo	he was good looking	he was ugly	3.553241941828969e-15	2.4828864886597603e-19	1.298868238029428e-12	2.972065903631126e-13	1.8879761168535195e-23	1.6510550127930268e-24	4.388643480076064e-28	1.3422859313352058e-27	0.9195816182751381	0.753606221160893	0.9999767553125898	0.0008123263892838848
The conversation was sharp as a tack	The conversation was sharp as a rock	The conversation was sharp and witty.	The conversation was dull and not sharp.	1.6371760158401144e-16	2.059941550698068e-18	1.3435522970375166e-18	7.332810764604819e-23	2.7987902236018336e-28	9.613343227470118e-32	1.305211433528618e-30	1.3277626725612446e-33	0.9996566358468394	0.0010162440410680165	0.9953581628104861	0.013623500853644518
He ate it like a fat boy eats cake	He ate it like a young boy eats broccoli	The food was tasty to him	The food was unpalatable to him	5.624377566785336e-18	1.2894755454646209e-20	4.775064044685037e-16	9.977137962001033e-16	3.087880362718128e-27	6.196181101653587e-29	1.421715675250572e-29	6.174379370464037e-29	0.9803285981966933	0.8128359812911183	0.9954169214013195	0.4991188058439757
He picked it up like a mother holding a baby	He picked it up like a playboy holding a condom	He held it with pride and care	He held it with disgust and caution	2.374636220548156e-17	1.9139592202838213e-22	5.688880243018681e-16	4.197157659094411e-20	3.6005037150284755e-24	1.646880342763307e-29	1.3533277004821028e-30	9.707863649838268e-33	0.9999954259933046	0.007122237970379585	0.9999996241283723	0.0005891226141874663
He rushed through the math test like an ape	He rushed through the math test like a rocket scientist	He rushed because he is dumb	He rushed because he is smart	1.0586743503935055e-24	6.706765931154373e-25	1.353428892985915e-18	5.269001189382463e-18	3.8183516374740255e-34	2.7698600273664893e-34	1.5925866055299596e-36	2.3967928089592879e-35	0.5795733093779492	0.9376934844808177	0.995846449287867	0.07963985724921785
The bear was as hungry as a lion	The bear was as hungry as a piece of paper	it was starving	it didn't need food	6.864190408004931e-17	3.7185588143704656e-21	3.7287160134565117e-13	4.977588938323599e-16	1.24610169672192e-23	1.863202721950266e-27	5.152085036584847e-28	5.53661501103458e-31	0.9998504998285673	0.0010734821949030383	0.9999586560868766	0.0002970675277195661
That conversation had the ease of doing your taxes blindfolded.	That conversation had the ease of a Sunday morning.	Having that conversation was difficult	Having that conversation was easy.	4.590275374994755e-32	8.482319626584231e-25	1.3059342543982462e-14	4.3191262625054424e-18	1.0338669713849757e-45	1.387482901137666e-46	1.7188390846633334e-37	6.520892041098667e-38	0.8816762030400068	0.275035397400096	6.014914219668542e-09	0.9999999978722498
Their conversations were artillery bombardments.	Their conversations were a hug with words.	Their conversations were heated and antagonistic.	Their conversations were friendly.	2.1921384278905443e-23	1.3832614319961226e-22	1.1738927519144616e-20	2.4673195819818158e-17	9.263016091293962e-35	4.640401853068942e-31	1.4693102663494057e-36	1.0356980325274713e-31	0.00019957684056357046	0.9999858135346801	0.9843855629799458	0.1824664916760262
The story was as disturbing as a nightmare	The story was as disturbing as a newborn puppy	The story was very disturbing.	The story failed to be disturbing, and in fact seemed cute.	1.0844012396676754e-15	2.0255057938473738e-20	9.870841525281517e-15	5.668523251394664e-29	1.7924133880865177e-26	9.790833359144585e-41	1.1185208418494359e-30	2.59194442514394e-44	0.9999999999999946	2.3172964938750615e-14	0.9999376008316768	0.0002646616832007867
Their expectations of the house they could afford turned into melted ice.	Their expectations of the house they could afford leapt past the second story.	Their expectations were not met.	Their expectations were exceeded.	4.219331318294547e-33	1.6419322714811392e-35	7.543650182512614e-15	1.0869073636594516e-14	7.754148097100268e-40	2.2009846279402243e-40	2.4658943658493375e-43	2.402348449418337e-43	0.7789095646706937	0.49347342369286623	0.999682091390836	0.0010902980162634448
Those that heard the child sing were carried away on gentle waves.	Those that heard the child sing were tortured by the intruding notes.	Those that heard the singing were pleasantly entertained.	Those that heard the singing were unpleasantly inundated.	2.4575997815293494e-30	4.105065812603518e-34	2.530468555756183e-25	1.6551741740530143e-30	2.539419130077982e-43	1.6305125125117939e-47	2.679058659114587e-46	1.4795927141085468e-50	0.9999357960327294	5.522503206564486e-05	0.9989461230604765	0.0009066175684126485
She sings like an angel	She sings like a bullfrog	her voice is magical	her voice is awful	3.3680025821315565e-10	4.046037507906402e-14	4.529074556130561e-14	1.0814646079189687e-14	1.415241888942559e-17	1.780825865511304e-20	3.3191435163782765e-23	1.2594552892569693e-21	0.9987432623013722	0.9743228876562108	0.9999976547219539	0.06605171930580801
HIs opinions were as firm as concrete	HIs opinions were as firm as a cotton ball	He was very certain of his opinion	He was very uncertain of his opinion	1.868740140116734e-20	1.0716400281206924e-24	8.545369472619968e-15	2.2682546697536926e-17	4.917201699568368e-29	5.196505302835263e-32	6.28066958653534e-34	1.8148622432976063e-35	0.99894431431864	0.028084470514409453	0.999987227309862	0.0003491247529326003
The pilot landed the plane like he was handling a new born baby.	The pilot landed the plane like it was on a roller coaster.	The landing was smooth and gentle	The landing was bumpy and rough	2.4538039689904973e-24	3.632945080301447e-21	1.1403870753620946e-13	6.985061349263155e-14	4.583331295486428e-31	6.243023710246791e-34	4.0725243717632886e-29	7.849157760836544e-29	0.9986397379634676	0.6583934778275146	0.011129026778061645	0.9999920463134448
The man's personality is like a Beanie Baby	The man's personality is like a drill sergeant	The man has a soft personality.	The man has a hard personality.	2.6586089520191464e-21	2.294768610529531e-21	3.795524572176829e-18	7.259241793833082e-18	8.168134716298936e-34	1.3900766938816243e-34	1.250900856576677e-33	1.96981444003605e-32	0.854567278936618	0.9402884073601183	0.3950320701885138	0.9929925591688059
The poster was as colorful as a rainbow	The poster was as colorful as a sidewalk	The poster has a lot of color.	The poster was dull and colorless.	3.111273544479501e-16	2.8286944021316326e-20	3.3171284168246356e-17	7.335731674409032e-20	1.343642159923165e-29	6.314287259645465e-31	6.37483519982144e-33	6.091382670183818e-34	0.9551154788138719	0.08721944175627155	0.9995257805746808	0.0009637686307907762
She is as eager as a beaver	She is as eager as a sloth	she is excited	she is bored	9.587236526859064e-16	2.4778729466200407e-18	3.322189595425094e-12	2.8263868762838815e-12	1.5413680013337627e-23	1.0092311852842238e-24	1.2844297362645945e-26	1.707894416618887e-26	0.9385473639187116	0.5707584905108344	0.9991673887711869	0.01664111429489117
The motor on the boat is a Babbling drunk	The motor on the boat is a Roaring lion	It is barely running	It is running strong	8.602217371799931e-29	2.5120121401158464e-25	3.191627916124402e-13	5.274436931113798e-12	2.547171594248256e-35	1.257953033286648e-35	4.6359738128575266e-33	8.639134313054326e-32	0.669405563175576	0.9490705211520175	0.005464338430023382	0.9998544101940575
The lawyer's opening argument was a Russian novel.	The lawyer's opening argument was an airport paperback.	The lawyer's opening argument was long.	The lawyer's opening argument was tawdry.	2.3270542933695875e-25	9.891686288754369e-30	6.999506784739145e-21	3.874981974892985e-24	1.0231934944686335e-33	3.919900325944884e-37	7.441721422720403e-39	9.52158321826695e-41	0.9996170422123702	0.012633226065498672	0.9999927270185558	0.00024284471952144116
The house had the cleanliness of a museum	The house had the cleanliness of a paintball arena	The house was very clean.	The house was a mess.	1.321205883973585e-16	4.9670705875661e-20	4.713304955438557e-13	9.61671889989198e-13	4.723046881438926e-26	1.556925286461159e-26	7.578897429522459e-30	1.0936122200266681e-28	0.7520808620109269	0.935189929116523	0.9998395594696089	0.006975184247696666
The grapes had the freshness of a secondhand toy.	The grapes had the freshness of an early summer morning.	The grapes weren't fresh.	The grapes were very fresh.	2.8902422624329768e-30	4.2780228517655035e-23	2.1623112439651462e-18	3.506298240752153e-18	8.058952558786894e-39	3.140284970892825e-38	8.323836991375474e-34	2.152889420595914e-31	0.20422160407458528	0.9961485351053843	9.681682309394652e-06	0.9999998541362838
The toy had the enjoyment of an execution	The toy had the enjoyment of roller coaster	The toy was not fun	The toy was fun	5.998233395958057e-24	1.7162174758979894e-23	8.268944440119556e-15	4.645988353772795e-13	1.8614512951957652e-31	3.096876355838781e-30	1.5871020344571458e-31	1.0451051235969586e-29	0.05669933332746919	0.9850411147930145	0.5397774420913816	0.7714132781672616
The movie's message was as heartwarming as a cup of mint tea	The movie's message was as heartwarming as a Popsicle	The movie message was very heartwarming.	The movie's message wasn't heartwarming at all.	5.546906033796408e-25	7.563464952587287e-25	1.301280648214565e-20	3.5121258613408295e-23	1.2024174219802375e-37	2.6239777969810887e-37	4.965983082206606e-38	8.993507543582802e-37	0.3142428717299708	0.9476719948148641	0.7077141197733697	0.774135475960607
The book was as classic as pancakes for breakfast	The book was as classic as a bride wearing purple	The book was very classic.	The book wasn't a classic.	3.578573072775051e-21	3.800871964618788e-25	2.875162980926587e-17	3.510703318023291e-17	7.724715094567031e-32	3.9794209385070815e-33	6.812811780820165e-36	6.506707054040311e-37	0.951008384987841	0.08718057644069155	0.9999118127866913	0.00016348216044604675
The toy was as new as A quarter from this year.	The toy was as new as A quarter from the year you were born.	The toy was recent	The toy was dated.	1.7680834858370465e-31	3.513380996631135e-33	4.2893460461937753e-16	4.9087580273483594e-18	3.009710869169686e-39	1.8019780567880517e-40	3.530348275169643e-41	1.4028299080905967e-41	0.9435100424348781	0.2843663569361474	0.9884061358431955	0.07222664068901152
