x_1	x_2	y_1	y_2	P(x_1)	P(x_2)	P(y_1)	P(y_2)	P(x_1, y_1)	P(x_1, y_2)	P(x_2, y_1)	P(x_2, y_2)	P(y_1|x_1)	P(y_2|x_2)	P(x_1|y_1)	P(x_2|y_2)
The girl had the flightiness of a sparrow	The girl had the flightiness of a rock	The girl was very fickle.	The girl was very stable.	0.0680508540250102	0.113076861638956	1.7907613004453186e-09	2.2033317596313408e-07	4.38844929947149e-10	8.292870053518584e-12	2.964906955338039e-07	1.5558403799997218e-09	0.9814534354878827	0.005220125693558397	0.0014779429802159508	0.9946981051305979
It was as peaceful as a church.	It was as peaceful as a battlefield.	It was very peaceful.	It was full of conflict and danger, not peace.	1.2878968743320372e-06	8.398142563157736e-06	8.66472822477561e-06	1.2219225328134202e-05	3.180880836218625e-07	5.293480293072824e-10	8.543244357017938e-09	1.7257827987960214e-08	0.9983386093266648	0.6688802603710085	0.9738443816461771	0.9702399060540358
The leaves were as green as grass	The leaves were as green as dirt	The leaves were very green	The leaves were brown and not green at all.	0.00935471298604359	0.007033778396830886	0.0015152308127120793	6.54048000453254e-06	1.184327928758278e-05	4.5728691787242234e-09	8.46401001163419e-06	4.012565225708764e-08	0.9996140339094193	0.004718369255027519	0.5832033568379531	0.897695292107347
Shopping for groceries is finding shells on a sunny beach	Shopping for groceries is a scavenger hunt with a list created by a lunatic	Shopping for groceries is a fun, rewarding chore	Shopping for groceries is a crazy, nearly impossible chore	0.003976537751348708	0.00023055986759244163	0.002830823840426083	0.0008769483160472604	7.380236941212603e-08	1.2219225328134202e-05	2.2911025187863403e-07	4.701037132952305e-07	0.00600359579657149	0.6723316991792861	0.2436424375374063	0.037047168669075196
War is an amputation on the wrong limb	War is an amputation to save your life	War is the wrong solution to a problem	War is a necessary solution	0.003550648557242539	0.014659653038902303	0.0011348554420418653	0.021538987261557414	0.011918213532635186	0.004086771438464067	0.00043074254057568753	0.02887087795892099	0.7446563401437933	0.9852997024317107	0.9651191130633207	0.8759993047687338
It's as green as grass in the spring	It's as green as grass during a hot summer	It's fairy green	It's not too green	0.0033616864879322562	0.031155951269699805	0.1337585794289584	0.04816112469272489	9.242967249221398e-05	1.3817116517646578e-06	0.00021323301991815497	3.194284007702751e-05	0.9852713861502773	0.13028542074923347	0.30239108267790193	0.9585377272885904
This is as peaceful as a sleeping puppy	This is as peaceful as European in the '40s	It's very peaceful	It's not very peaceful	0.015666196140128895	0.05217639966630833	0.002204647823661035	0.0040234119200233415	5.464775591682541e-06	8.139758880082827e-06	0.002680170143751801	3.823057384639185e-05	0.4016878051229204	0.014063627043245474	0.0020348170007479763	0.8244619263765707
The music was loud like a siren.	The music was loud like a whisper.	The music was very loud.	The music was very quiet.	1.8058844377130914e-05	3.591430047015573e-05	2.4491425041093874e-05	1.8058844377130914e-05	8.030429110667905e-05	2.399621515240483e-11	4.926644615480084e-07	9.946154787241337e-11	0.9999997011839884	0.00020184421628825368	0.9939024378074247	0.8056321889812553
Jobs are as available as a marriage man.	Jobs are as available as a bachelor.	Jobs are not available.	Jobs are very available.	1.670170079024566e-05	5.955174812525811e-06	2.8410550082534584e-05	2.6425928041209276e-06	2.7635971626846847e-07	0.0008110446093482581	1.3652065610331087e-08	0.0006122085901157691	0.0003406293277334101	0.9999777008010005	0.952925824178976	0.43014734858584297
Peace is a human flying	Peace is a human walking	Peace is impossible	Peace is possible	0.02360979171077691	0.026082664649486904	0.02921119873238083	0.23021307174736147	0.00010890876985506645	0.0024498738390908706	0.0007129539328114074	0.007516723054668224	0.04256272864849986	0.9133679324357357	0.13251455444044347	0.7541915394787424
Plants are a lullaby	Plants are a loud drum	Plants are calming	Plants are disturbing	0.015125000379111637	0.0054140925140856375	0.0005617941816327723	0.003271010730290687	0.04047659998483431	0.001087124926134582	2.127851882503518e-05	0.01051778652689236	0.9738443816461771	0.9979809860995514	0.9994745769504169	0.9063219973254493
The car was as ugly as a one eyed rat	The car was as ugly as a swan	it was hideous	it was beautiful	0.0008400650320638412	0.0018931157732772455	0.001690362121370567	0.005066240526231578	3.611996107745338e-06	1.3680798001723103e-07	2.971146953702624e-06	4.850264070332023e-07	0.9635062337709722	0.14033624949008322	0.5486734944129985	0.7799929002541068
The man was as handsome as a prince	The man was as handsome as a hobo	he was good looking	he was ugly	8.88887473452297e-05	0.00031760963250666423	8.013563615524676e-06	2.668924186924946e-05	2.1815938727736594e-08	6.276708073705662e-07	7.901209404604079e-09	4.5399929762484854e-05	0.03358950565010398	0.999825994564473	0.734119526900183	0.9863631647185701
The conversation was sharp as a tack	The conversation was sharp as a rock	The conversation was sharp and witty.	The conversation was dull and not sharp.	0.004384465734147754	0.00571842134682227	2.265086538322931e-05	2.8410550082534584e-05	2.7577930600791114e-08	1.0087587866101831e-07	1.7257827987960214e-08	3.61743726377138e-09	0.21469141911224193	0.1732882059293266	0.6150878555160665	0.03461883883917583
He ate it like a fat boy eats cake	He ate it like a young boy eats broccoli	The food was tasty to him	The food was unpalatable to him	0.17377394345044514	0.07802068852201902	6.868790016083293e-05	0.00034476199450617594	3.576360456247403e-07	2.0494177818374155e-08	3.7773894560776793e-07	1.5502375092372261e-07	0.9458012701768144	0.29098086621490676	0.4863315313801095	0.8832359864017768
He picked it up like a mother holding a baby	He picked it up like a playboy holding a condom	He held it with pride and care	He held it with disgust and caution	0.01610047909469486	0.018531537844141566	0.013825369568946493	0.007846746827195604	1.2979979747093039e-06	1.5414107337342944e-06	7.889324827200223e-06	5.296642122413846e-06	0.4571367168274948	0.40168780512292046	0.1412814160007008	0.7745833841649232
He rushed through the math test like an ape	He rushed through the math test like a rocket scientist	He rushed because he is dumb	He rushed because he is smart	0.0015211612584350887	0.001121633975667304	0.00011593278203827863	7.086828816589593e-05	0.0003598988637540498	1.1936167278278403e-05	0.00019114084371795175	1.5446548154550848e-05	0.9678992932829918	0.07477004290796137	0.6531269142203084	0.5640984800226174
